,Grandmaster Flash,Old School,East Coast,South Bronx,1970,40.8087907,-73.9205933,1JfnADNz5yYEq3hrzlZHLk
,The Sugarhill Gang,Old School,East Coast,Englewood,1973,40.891654,-73.973274,7zliF6Q946WznVk3ZMYhZX
,Afrika Bambaataa,Old School,East Coast,The Bronx,1975,40.843414,-73.864194,7cg61q8kK8jlFi8TKKw70p
,Beastie Boys,Rap Rock,East Coast,New York City,1981,40.718643,-74.006843,03r4iKL2g2442PT9n2UKsx
,Run D.M.C,Rap Rock,East Coast,Queens,1981,40.727538,-73.795018,3CQIn7N5CuRDP8wEI7FiDA
,Public Enemy,Gangsta,East Coast,Long Island,1982,40.786734,-73.136531,6Mo9PoU6svvhgEum7wh2Nd
,Ice-T,Gangsta,West Coast,Los Angeles,1982,34.04979,-118.244632,0eGh2jSWPBX5GuqIHoZJZG
,LL Cool J,,East Coast,Bay Shore,1984,40.724051,-73.246929,1P8IfcNKwrkQP5xJWuhaOC
,Dr. Dre,G-Funk,West Coast,Los Angeles,1984,34.04978,-118.244634,6DPYiyq5kWVQS4RGwxzPC7
,Ice Cube,Gangsta,West Coast,South Central,1984,33.982374,-118.290457,3Mcii5XWf6E0lrY3Uky4cA
,Uncle Luke,Miami Bass,Dirty South,Miami,1985,25.78841,-80.225887,7mCekSIv2TXaA1P2x4oIac
,A Tribe Called Quest,Jazz Rap,East Coast,Queens,1985,40.727536,-73.795014,09hVIj6vWgoCDtT03h8ZCa
,Twista ,,Midwest,Chicago,1985,41.87638,-87.630344,6vbY3hOaCAhC7VjucswgdS
,Salt-N-Peppa,,East Coast,Queens,1985,40.727539,-73.795018,7wqtxqI3eo7Gn1P7SpP6cQ
,N.W.A.,Gangsta,West Coast,Compton,1986,33.8928156,-118.2213599,4EnEZVjo3w1cwcQYePccay
,De La Soul,Alternative,East Coast,Long Island,1987,40.786735,-73.136533,1Z8ODXyhEBi3WynYw0Rya6
,Digital Underground,Alternative,West Coast,Oakland,1987,37.808371,-122.272396,7jocoSCuCtpCxCI6IbP8ye
,Coolio,,West Coast,Compton,1987,33.8928157,-118.2213598,3y24n3XhZ96wgwRXjvS17T
,Jay-Z,,East Coast,Brooklyn,1988,40.6540846,-73.9537363,3nFkdlSjzX9mRTtwJOzDYB
,Nas,,East Coast,Queens,1988,40.727536,-73.795017,20qISvAhX20dpIbOOzGK3q
,DMX,,East Coast,Yonkers,1988,40.931656,-73.901219,1HwM5zlC5qNWhJtM00yXzG
,Tupac,Gangsta,West Coast,Marin City,1988,37.866827,-122.508969,1ZwdS5xdxEREPySFridCfh
,Cypress Hill,Rap Rock,West Coast,South Gate,1988,33.948198,-118.212008,4P0dddbxPil35MNN9G2MEX
,Puff Daddy,,East Coast,The Bronx,1989,40.843412,-73.864196,59wfkuBoNyhDMQGCljbUbA
,Master P,,Dirty South,New Orleans,1990,29.959478,-90.081609,7zICaxnDB9ZprDSiFpvbbW
,Timbaland,,East Coast,Norfolk,1990,36.854047,-76.288871,5Y5TRrQiqgUO4S36tzjIRZ
,Eminem,Alternative,Midwest,Detroit,1990,42.4464234,-83.125566,7dGJo4pcD2V6oG8kP0tJRR
,E-40,Hyphy,West Coast,Vallejo,1990,38.101685,-122.257097,3crnzLy8R4lVwaigKEOz7V
,Missy Elliot,,East Coast,Portsmouth,1991,36.836079,-76.302647,2wIVse2owClT7go1WT98tk
,OutKast,Funk,Dirty South,Atlanta,1992,33.750622,-84.388718,1G9G7WwrXka3Z1r7aIDjI7
